name,pe,roic,pe_rank,roic_rank,rank,Full Name,Website
A,45.62582716049383,0.11706523100037561,145,518,663,"Agilent Technologies, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AA,-34.979679228,0.014293976699991738,472,287,759,Alcoa Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AAN,-8.344159524384356,-0.1695306605676108,201,1039,1240,"Aaron's, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AAP,13.914375049339565,0.24902104792528207,752,498,1250,Advance Auto Parts Inc Advance Auto Parts Inc W/I,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AAT,74.4403103389371,0.01358112392112344,1071,930,2001,"American Assets Trust, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AB,13.324640503973082,0.1920285371315827,883,1001,1884,Allianceberstein Holding L.P.  Units,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ABBV,41.302387357019064,0.02787439296495603,848,322,1170,AbbVie Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ABC,-7.10526827007575,-0.4624505094601464,364,667,1031,AmerisourceBergen Corporation (Holding Co) Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ABG,14.073207547169812,0.1378368461820702,1156,1110,2266,Asbury Automotive Group Inc Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ABM,73.3010151187905,0.04260397830018083,284,1115,1399,ABM Industries Incorporated Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ABT,45.66188301470967,0.08192477036988176,481,69,550,Abbott Laboratories Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACC,78.7760014281005,0.01006319443561051,1062,921,1983,American Campus Communities Inc Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACCO,13.489112903225807,0.031543462557187575,552,1080,1632,Acco Brands Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACH,1962.6348041419992,0.00866909978701261,465,1055,1520,Aluminum Corporation of China Limited American Depositary Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACI,5.174488307230209,0.12780651049589292,1176,437,1613,"Arch Coal, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACM,-45.84653635123428,0.0455420370941905,590,891,1481,AECOM Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACN,31.059227418596357,0.2735075254982355,1036,847,1883,Accenture plc. Class A Ordinary Shares (Ireland),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ACRE,22.20969893543956,0.01188224837497189,855,656,1511,Ares Commercial Real Estate Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ADC,39.60406231752424,0.024616903441255705,904,1058,1962,Agree Realty Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ADM,18.321015801354402,0.059707644988426296,1028,134,1162,Archer,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ADPT,-37.032782234471064,-0.14460496609530893,864,751,1615,Adeptus Health Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ADS,24.60655591951334,0.018307485923567176,528,94,622,Alliance Data Systems Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ADT,-9.649118101592393,-0.052555643929589974,925,652,1577,ADT Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AEE,21.641109070034442,0.03457286432160804,871,772,1643,Ameren Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AEO,-23.90812019630557,-0.11102282402523313,103,646,749,"American Eagle Outfitters, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AEP,21.00497940753871,0.026485416149139674,499,1063,1562,"American Electric Power Company, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AES,395.91576086956525,0.016688895728600252,41,200,241,The AES Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AFC,13.552896725440807,0.10708640674394099,565,634,1199,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AFL,7.566724289600335,0.026465292931349284,1125,516,1641,AFLAC Incorporated Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AGCO,23.673029735424958,0.10930874858987824,1118,404,1522,AGCO Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AGI,29.227033048433047,0.05199020388893807,326,626,952,Alamos Gold Inc Ordinary Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AGN,-5.048739923541247,-0.05099959502573068,375,491,866,"Allergan, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AGO,10.560686140438355,0.026520347508001828,38,210,248,Assured Guaranty Ltd. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AGRO,-27.669717124769612,-0.014900831383944187,1120,154,1274,Adecoagro S.A. Common Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AGX,117.00472440944883,0.010565970042156246,1009,963,1972,"Argan, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AHH,37.24413872845046,0.019897463718974637,815,1008,1823,"Armada Hoffler Properties, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AIN,28.867108602379577,0.10233004408151733,966,1026,1992,Albany International Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AIR,-52.54705144291092,-0.03850113636363636,550,1053,1603,AAR Corp. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AIT,-155.81859499528665,-0.005830923064209569,246,220,466,"Applied Industrial Technologies, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AIV,5.058474951469536,0.02645273257318677,747,574,1321,Apartment Investment and Management Company Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AJG,29.356501282364434,0.07140631661801843,1126,1148,2274,Arthur J. Gallagher & Co. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AKR,-204.56859915515471,-0.015970275525923682,123,1171,1294,Acadia Realty Trust Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AL,9.727253700925793,0.030826404943223217,610,1018,1628,Air Lease Corporation Class A Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALB,43.23213373287489,0.04318589559118137,692,237,929,Albemarle Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALE,20.039001148105626,0.021706666666666666,978,1113,2091,"Allete, Inc.",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALEX,241.24714285714288,0.0029323977588102844,651,1153,1804,"Alexander & Baldwin, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALG,32.424200419835515,0.0777078478684832,1152,893,2045,"Alamo Group, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALK,-6.200093904833837,-0.188659899518097,766,113,879,"Alaska Air Group, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALL,4.182789282363977,0.028355478528788756,1160,773,1933,Allstate Corporation (The) Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALLE,34.08775055679288,0.14341222182974214,160,133,293,Allegion plc Ordinary Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALSN,15.822644091371236,0.09576023391812866,740,16,756,"Allison Transmission Holdings, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALV,44.6866987693954,0.058104952194654585,603,1075,1678,"Autoliv, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ALX,36.13964938124418,0.03067330758878942,383,66,449,"Alexander's, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AM,-37.30533245733593,-0.03230342653954471,463,1035,1498,Antero Midstream Partners LP Common Units representing limited partner interests,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMC,-0.3067281297856049,-0.3901270456503015,614,505,1119,"AMC Entertainment Holdings, Inc. Class A Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AME,32.555035939475424,0.11660842219762868,1041,587,1628,"AMETEK, Inc.",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMG,59.90089072543617,0.054166850357830386,777,102,879,"Affiliated Managers Group, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMH,69.00593740026154,0.016117184125036488,72,1162,1234,American Homes 4 Rent Common Shares of Beneficial Interest,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMP,17.935228161668842,0.011114011180780226,837,908,1745,"Ameriprise Financial, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMRC,37.720298654298865,0.041274062761034964,262,297,559,"Ameresco, Inc. Class A Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMT,54.915098355613395,0.041789435036027354,827,409,1236,American Tower Corporation (REIT) Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AMTD,11.123338477366254,0.19422730006013228,314,191,505,TD Ameritrade Holding Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AN,19.838218029350102,0.09614947651757468,161,907,1068,"AutoNation, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ANET,33.09641791044776,0.1860799017598011,939,699,1638,"Arista Networks, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ANF,-18.450250086069154,-0.015556222209118701,1197,3,1200,Abercrombie & Fitch Company Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ANTM,17.919886574759403,0.07204435631734243,286,947,1233,"Anthem, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AON,16.732549219496654,0.26844220420952253,1119,1178,2297,Aon plc Class A Ordinary Shares (UK),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AOS,30.694739929254855,0.195172353148083,1199,1198,2397,A.O. Smith Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
APA,-1.7367140468227424,-0.42315090050708165,366,981,1347,Apache Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
APAM,13.589364914376553,0.6100015691974794,307,1179,1486,Artisan Partners Asset Management Inc. Class A Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
APD,32.186029158523056,0.10408099661504099,273,721,994,"Air Products and Chemicals, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
APH,15.442527006814027,0.15231966477102662,579,385,964,Amphenol Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
APO,-93.52276853822893,-0.01500975640158979,460,400,860,"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AR,-2.226949846872419,-0.1362525868499878,1023,143,1166,Antero Resources Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARCO,-7.419029540240671,-0.0664942809083763,1013,448,1461,Arcos Dorados Holdings Inc. Class A Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARDC,-13.490234035306802,-0.05724950580355558,763,629,1392,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARE,26.25490598073309,0.037578980183752754,779,1077,1856,"Alexandria Real Estate Equities, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARES,69.96466072746867,0.01566665190832586,736,365,1101,Ares Management L.P. Common Units representing Limited Partner Interests,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARI,114.3252133258965,0.0054122253208032725,917,727,1644,"Apollo Commercial Real Estate Finance, Inc",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARMK,-19.421856776375783,-0.07070239450599976,504,659,1163,Aramark Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ARW,13.557657710500125,0.09582939754851302,259,778,1037,"Arrow Electronics, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ASGN,25.42861707438842,0.09459081696834161,213,928,1141,"On Assignment, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ASH,-11.11441589661157,-0.0735747929186292,521,705,1226,Ashland Inc. (NEW) Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ASX,0.5569592736960136,0.09219387432594732,243,938,1181,"Advanced Semiconductor Engineering, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ATEN,44.4836411091154,0.10456698592041785,1100,1185,2285,"A10 Networks, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ATHM,3.521724010742009,0.18769412092874954,167,529,696,"Autohome Inc. American Depositary Shares, each representing one class A ordinary share.",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ATI,-1.7815452117512398,-0.4382245091081145,897,842,1739,Allegheny Technologies Incorporated Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ATO,17.813973249975017,0.050979522950572904,37,138,175,Atmos Energy Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
ATR,42.34656690338254,0.09382582427647984,195,628,823,"AptarGroup, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AVA,22.903721271469173,0.023157047449738122,340,693,1033,Avista Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AVAL,0.0027662557069424235,0.06577130948219809,616,164,780,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AVB,31.455510989717627,0.04442943330928977,809,903,1712,"AvalonBay Communities, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AVD,59.98810584958217,0.026473813676137964,506,557,1063,American Vanguard Corporation Common Stock ($0.10 Par Value),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AVT,-38.81925206496509,-0.036317027673281425,816,523,1339,"Avnet, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AVY,16.34936430985977,0.38183526464140305,1085,305,1390,Avery Dennison Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AWI,-45.80853182684157,-0.08194282757728626,15,961,976,Armstrong World Industries Inc Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AWK,34.877602256699575,0.04222069910897875,95,741,836,"American Water Works Company, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AWR,30.526712756725487,0.06851158167421882,824,405,1229,American States Water Company Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AXL,-2.3758079458400143,-0.12361758152724327,1140,1116,2256,"American Axle & Manufacturing Holdings, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AXP,37.72201754385965,0.023860701491293844,875,115,990,American Express Company Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AXTA,58.96045230263158,0.02044743403108947,327,67,394,Axalta Coating Systems Ltd. Common Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AYI,21.23581701957651,0.11757575757575757,926,482,1408,Acuity Brands Inc (Holding Company),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AZO,16.40974130250632,0.259778241310098,954,61,1015,"AutoZone, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
AZZ,-209.25383463491173,-0.00290459875408105,1142,835,1977,AZZ Incorporated Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
B,45.00217216757397,0.042629366775773496,473,688,1161,"Barnes Group, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BA,-12.155916364861449,-0.223202170963365,1010,1060,2070,Boeing Company (The) Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BABA,4.011727573446257,0.13437099191453175,820,5,825,Alibaba Group Holding Limited American Depositary Shares each representing one Ordinary share,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BAC,16.83347651663405,0.007735451598568106,392,983,1375,Bank of America Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BAH,19.788055027731854,0.16236807497321534,93,85,178,Booz Allen Hamilton Holding Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BAK,-1.021533102139756,-0.113111077073888,1011,632,1643,Braskem SA ADR,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BANC,83.15708106569112,0.001833649433554278,276,311,587,"Banc of California, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BAX,35.9347638510445,0.07743018099005154,53,63,116,Baxter International Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BBVA,7.64116915388153,0.042747370100777005,20,1022,1042,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BBY,16.22283265778807,0.27867264139517983,791,350,1141,"Best Buy Co., Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BC,23.711737742964896,0.1514300306435138,120,776,896,Brunswick Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BCC,13.619227021528298,0.19859042973789567,605,289,894,"Boise Cascade, L.L.C. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BCE,15.825283219438116,0.062449898843379016,428,534,962,"BCE, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BCEI,7.346596120856194,0.038780036234760826,1196,411,1607,"Bonanza Creek Energy, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BCO,261.45,0.0208717165868295,1,1128,1129,Brinks Company (The) Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BCX,-4.8331870749640435,-0.26653401611406485,860,691,1551,BlackRock Resources Common Shares of Beneficial Interest,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BDC,-36.80925794796376,0.025249210282045673,715,946,1661,Belden Inc Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BDN,7.693252399427873,0.08199405246624009,876,933,1809,Brandywine Realty Trust Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BEN,18.05814980471211,0.05609167976786861,950,1181,2131,"Franklin Resources, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BEP,-134.12959396595747,-0.00022095649612098594,1117,159,1276,Brookfield Renewable Energy Partners LP Partnership Units (Bermuda),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BERY,9.968672392638037,0.07176937033801492,1131,1201,2332,"Berry Plastics Group, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BFAM,374.57964167901605,0.004897626096975,986,462,1448,Bright Horizons Family Solutions Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BFK,50.86943409377812,0.018066381936115157,268,309,577,BlackRock Municipal Income Trust,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BFS,22.666018402357402,0.0328499559703744,638,303,941,"Saul Centers, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BG,9.858569186462883,0.11152328334648777,216,686,902,Bunge Limited Bunge Limited,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BGB,-13.492303905058142,-0.04740950940695844,489,839,1328,Blackstone / GSO Strategic Credit Fund Common Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BGS,8.101973987704723,0.09512742772546096,294,707,1001,"B&G Foods, Inc. B&G Foods, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BHE,81.58399146211312,0.01369093000627821,255,367,622,"Benchmark Electronics, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BHLB,-2.2387761741182737,-0.04164927789962395,33,932,965,"Berkshire Hills Bancorp, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BIG,3.8920517337659946,0.274234470662492,204,1102,1306,"Big Lots, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
